Date,Agric,Food ,Soda ,Beer ,Smoke,Toys ,Fun  ,Books,Hshld,Clths,Hlth ,MedEq,Drugs,Chems,Rubbr,Txtls,BldMt,Cnstr,Steel,FabPr,Mach ,ElcEq,Autos,Aero ,Ships,Guns ,Gold ,Mines,Coal ,Oil  ,Util ,Telcm,PerSv,BusSv,Hardw,Softw,Chips,LabEq,Paper,Boxes,Trans,Whlsl,Rtail,Meals,Banks,Insur,RlEst,Fin  ,Other
192908,115.25,63.55,-99.99,22.94,83.88,12.99,55.3,50.76,43.17,8.22,-99.99,57.49,117.99,220.66,-99.99,11.49,46.75,19.79,118.76,-99.99,67.78,366.45,120.32,133.3,59.75,-99.99,-99.99,67.48,33.07,129.65,384.67,982.32,4.5,35.47,157.88,-99.99,46.77,398.61,9.19,56.82,119.84,11.13,82.13,21.95,91.27,76.29,61.61,103.15,15.12
192909,116.74,66.23,-99.99,25.19,90.45,12.69,58.9,50.69,44.65,8.27,-99.99,56.25,123.62,246.18,-99.99,11.5,48.11,19.88,132.22,-99.99,74.75,415.49,121.98,131.22,62.37,-99.99,-99.99,73.16,34.8,144.23,417.99,1090.2,4.03,35.58,168.64,-99.99,44.51,454.76,10.17,62.06,129.39,10.48,88.59,22.93,62.29,85.2,65.17,106.07,14.65
192910,117.3,64.78,-99.99,24.55,83.09,12.81,57.45,49.91,47.53,7.89,-99.99,52.12,114.48,228.99,-99.99,11.04,46.36,19.32,120.01,-99.99,70.26,366.84,110.79,100.48,62.01,-99.99,-99.99,69.21,34.03,142.36,426.04,1067.01,3.93,42.84,196.6,-99.99,40.65,468.54,9.41,59.13,119.01,10.41,83.5,22.08,59.38,76.97,60.87,112.98,14.63
192911,116.52,54.21,-99.99,17.98,84.97,10.44,47.49,45.28,31.89,7.14,-99.99,43.97,92.39,172.28,-99.99,8.66,38.23,17.7,100.97,-99.99,54.42,255.83,79.41,59.95,54.08,-99.99,-99.99,60.1,31.55,127.56,297.67,902.81,2.8,35.68,141.88,-99.99,34.38,442.04,7.7,50.12,109.11,7.87,63.22,17.73,39.61,60.01,54.95,72.95,9.85
192912,107.94,48.78,-99.99,15.85,79.06,8.03,38.91,45.05,27.15,6.37,-99.99,40.2,84.34,143.4,-99.99,7.68,34.01,17.35,86.28,-99.99,46.58,208.87,64.34,41.89,52.12,-99.99,-99.99,51.08,30.05,118.58,253.18,817.32,1.7,30.59,101.69,-99.99,28.69,371.02,6.5,42.81,100.17,7.35,55.02,15.86,30.67,49.35,56.63,60.25,8.3
193001,101.8,48.73,-99.99,16.1,80.64,7.54,34.94,45.2,27.23,6.56,-99.99,39.67,85.41,152.38,-99.99,7.1,33.15,18.79,85.37,-99.99,47.87,234.06,66.59,47.67,51.91,-99.99,-99.99,49.18,28.33,119.34,272.48,817.28,1.7,29.63,109.34,-99.99,27.03,376.32,6.24,42.56,99.53,7.26,51.39,16.21,43.12,46.35,52.2,62.62,7.58
193002,136.02,51.31,-99.99,14.52,87.51,6.58,45.78,45.78,29.83,6.79,-99.99,41.45,86.57,164.6,-99.99,7.81,35.47,18.85,89.81,-99.99,51.8,259.69,70.72,48.14,53.06,-99.99,-99.99,51.86,28.06,118.19,291.75,827.04,2.15,20.5,119.65,-99.99,30.09,410.77,9.36,45.26,102.92,7.39,53.53,18.08,51.73,53.65,53.19,68.25,12.38
193003,123.19,51.67,-99.99,14.68,91.74,7.97,53.36,48.22,27.12,6.72,-99.99,48.98,86.75,167.8,-99.99,8.25,35.56,20.24,89.53,-99.99,54.14,280.02,74.03,59.99,53.67,-99.99,-99.99,51.17,29.33,111.55,315.58,885.44,1.6,27.92,124.22,-99.99,29.14,458.47,8.64,49.16,104.68,7.05,50.43,18.05,56.83,55.03,50.2,75.35,12.12
193004,121.48,52.95,-99.99,13.4,95.11,10.17,61.17,48.92,26.92,7.17,-99.99,50.94,91.94,184.91,-99.99,7.95,36.59,20.4,94.79,-99.99,56.76,303.97,83.13,76.53,52.4,-99.99,-99.99,51.54,29.56,135.29,345.95,954.99,1.58,29.53,123.97,-99.99,30.07,500.87,9.3,52.06,109.2,6.7,48.93,18.81,58.87,60.95,53.77,82.01,12.88
193005,126.25,54.44,-99.99,11.76,92.34,7.91,64.98,49.78,26.29,7.07,-99.99,46.24,93.4,174.86,-99.99,7.13,34.34,22.06,81.68,-99.99,60.24,313.01,75.81,72.33,48.42,-99.99,-99.99,44.29,26.86,144.93,356.98,911.8,2.1,28.82,115.75,-99.99,23.63,527.9,7.29,49.8,101.21,6.97,49.94,19.25,53.51,55.13,52.13,80.75,12.46
